basin,campaign,site_id,hydrogeomorphic_zone,elevation_navd88,latitude,longitude,station,plot,replicate,sample_id,time_marker_deployed,time_marker_sampled,notes_time_marker_sampled,sediment_accretion,days_between_sampling_and_deployment,normalized_accretion,soil_bulk_density,soil_organic_matter_content,soil_organic_carbon,soil_organic_carbon_density
Atchafalaya,Fall_2020,CRMS_2568,supratidal,0.554,29.56425622,-91.35489157,T25,X,A,20F2568TXA,2019-10-17,2020-11-10,NA,11,390,10,0.037,65.5,33.6,0.012
Atchafalaya,Fall_2020,CRMS_2568,supratidal,0.554,29.56425622,-91.35489157,T25,X,B,20F2568TXB,2019-10-17,2020-11-10,NA,7,390,7,0.073,49,23.4,0.017
Atchafalaya,Fall_2020,CRMS_2568,supratidal,0.554,29.56425622,-91.35489157,T25,Y,A,20F2568TYA,2019-10-17,2020-11-10,NA,12,390,11,0.047,63.4,31,0.015
Atchafalaya,Fall_2020,CRMS_2568,supratidal,0.554,29.56425622,-91.35489157,T25,Y,B,20F2568TYB,2019-10-17,2020-11-10,NA,10,390,9,0.069,45.2,23,0.016
Atchafalaya,Fall_2020,CRMS_2568,supratidal,0.554,29.56425622,-91.35489157,T25,Z,A,20F2568TZA,2019-10-17,2020-11-10,NA,14,390,13,0.026,46.5,21.1,0.005
Atchafalaya,Fall_2020,CRMS_2568,supratidal,0.554,29.56425622,-91.35489157,T25,Z,B,20F2568TZB,2019-10-17,2020-11-10,NA,15,390,14,0.037,29.2,13,0.005
Atchafalaya,Fall_2020,CRMS_2568,supratidal,0.386,29.56417537,-91.35490102,V25,X,A,20F2568VXA,2019-10-17,2020-11-10,NA,30,390,28,0.058,52.3,25.9,0.015
Atchafalaya,Fall_2020,CRMS_2568,supratidal,0.386,29.56417537,-91.35490102,V25,X,B,20F2568VXB,2019-10-17,2020-11-10,NA,33,390,31,0.065,43.6,22.5,0.015
Atchafalaya,Fall_2020,CRMS_2568,supratidal,0.386,29.56417537,-91.35490102,V25,Y,A,20F2568VYA,2019-10-17,2020-11-10,NA,37,390,35,0.104,42.9,21.5,0.022
Atchafalaya,Fall_2020,CRMS_2568,supratidal,0.386,29.56417537,-91.35490102,V25,Y,B,20F2568VYB,2019-10-17,2020-11-10,NA,28,390,26,0.05,48.3,23,0.011
